GEO_ID,NAME,S2303_C01_001E
25001,"Barnstable County, Massachusetts",121756
25003,"Berkshire County, Massachusetts",79143
25005,"Bristol County, Massachusetts",365673
25007,"Dukes County, Massachusetts",10502
25009,"Essex County, Massachusetts",505257
25011,"Franklin County, Massachusetts",44909
25013,"Hampden County, Massachusetts",301767
25015,"Hampshire County, Massachusetts",113728
25017,"Middlesex County, Massachusetts",1079928
25019,"Nantucket County, Massachusetts",7452
25021,"Norfolk County, Massachusetts",454967
25023,"Plymouth County, Massachusetts",327135
25025,"Suffolk County, Massachusetts",583412
25027,"Worcester County, Massachusetts",545387
